country,ocde
Argentina,no
Austria,yes
Belgium,yes
Brazil,no
Canada,yes
China,no
Croatia,no
Czech Republic,yes
Denmark,yes
Egypt,no
Estonia,yes
France,yes
Germany,yes
Greece,yes
Hungary,yes
Iceland,yes
India,no
Indonesia,no
Iran,no
Ireland,yes
Israel,yes
Italy,yes
Jamaica,no
Japan,yes
South Korea,yes
Kuwait,no
Lesotho,no
Mexico,yes
Netherlands,yes
Norway,yes
Papua New Guinea,no
Poland,yes
Portugal,yes
Romania,no
Russia,no
Serbia,no
Singapore,no
Slovenia,yes
South Africa,no
Spain,yes
Sweden,yes
Switzerland,yes
Taiwan,no
Thailand,no
Turkey,yes
United Kingdom,yes
United States,yes